"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"1","1966","14","Chhattisgarh","Durg","1375.0","80.74","1.38","1.27","292.0","17.15","0.29","0.27","36.0","2.11","0.04","0.03","1703.0","1.71","1.57"
"1","1967","14","Chhattisgarh","Durg","1516.0","78.79","1.5","1.17","207.0","10.76","0.2","0.16","201.0","10.45","0.2","0.15","1924.0","1.9","1.48"
"1","1968","14","Chhattisgarh","Durg","3042.0","85.84","2.95","2.27","458.0","12.92","0.44","0.34","44.0","1.24","0.04","0.03","3544.0","3.44","2.65"
"1","1969","14","Chhattisgarh","Durg","4131.0","82.39","3.99","3.08","847.0","16.89","0.82","0.63","36.0","0.72","0.03","0.03","5014.0","4.84","3.74"
"1","1970","14","Chhattisgarh","Durg","4594.0","67.92","4.44","3.32","2024.0","29.92","1.96","1.46","146.0","2.16","0.14","0.11","6764.0","6.54","4.89"
"1","1971","14","Chhattisgarh","Durg","7152.0","66.9","6.87","5.11","2894.0","27.07","2.78","2.07","644.0","6.02","0.62","0.46","10690.0","10.27","7.64"
"1","1972","14","Chhattisgarh","Durg","8345.0","64.58","8.01","6.09","3769.0","29.17","3.62","2.75","808.0","6.25","0.78","0.59","12922.0","12.4","9.43"
"1","1973","14","Chhattisgarh","Durg","4679.0","64.68","4.47","3.31","2312.0","31.96","2.21","1.64","243.0","3.36","0.23","0.17","7234.0","6.92","5.12"
"1","1974","14","Chhattisgarh","Durg","2704.0","65.5","2.6","2.32","1161.0","28.13","1.12","1.0","263.0","6.37","0.25","0.23","4128.0","3.97","3.54"
"1","1975","14","Chhattisgarh","Durg","4673.0","81.8","4.39","3.38","828.0","14.49","0.78","0.6","212.0","3.71","0.2","0.15","5713.0","5.37","4.13"
"1","1976","14","Chhattisgarh","Durg","4904.0","73.39","4.8","3.86","1489.0","22.28","1.46","1.17","289.0","4.33","0.28","0.23","6682.0","6.54","5.25"
"1","1977","14","Chhattisgarh","Durg","4281.0","67.4","4.1","3.08","1560.0","24.56","1.49","1.12","511.0","8.04","0.49","0.37","6352.0","6.08","4.57"
"1","1978","14","Chhattisgarh","Durg","6212.0","71.16","5.91","4.43","1912.0","21.9","1.82","1.36","606.0","6.94","0.58","0.43","8730.0","8.31","6.23"
"1","1979","14","Chhattisgarh","Durg","4832.0","61.22","4.63","3.89","2382.0","30.18","2.28","1.92","679.0","8.6","0.65","0.55","7893.0","7.57","6.36"
"1","1980","14","Chhattisgarh","Durg","5779.0","64.05","5.55","4.19","2612.0","28.95","2.51","1.89","632.0","7.0","0.61","0.46","9023.0","8.66","6.54"
"1","1981","14","Chhattisgarh","Durg","6917.0","58.92","6.59","5.38","3939.0","33.55","3.75","3.06","883.0","7.52","0.84","0.69","11739.0","11.18","9.13"
"1","1982","14","Chhattisgarh","Durg","7590.0","65.08","7.19","5.49","3215.0","27.57","3.05","2.33","857.0","7.35","0.81","0.62","11662.0","11.05","8.44"
"1","1983","14","Chhattisgarh","Durg","10114.0","66.23","9.54","7.09","4209.0","27.56","3.97","2.95","947.0","6.2","0.89","0.66","15270.0","14.41","10.7"
"1","1984","14","Chhattisgarh","Durg","12393.0","64.06","11.7","8.87","5865.0","30.32","5.54","4.2","1088.0","5.62","1.03","0.78","19346.0","18.27","13.85"
"1","1985","14","Chhattisgarh","Durg","13917.0","61.62","13.09","9.63","7298.0","32.31","6.86","5.05","1372.0","6.07","1.29","0.95","22587.0","21.24","15.63"
"1","1986","14","Chhattisgarh","Durg","13535.0","57.57","12.88","10.33","8326.0","35.41","7.92","6.36","1649.0","7.01","1.57","1.26","23510.0","22.36","17.95"
"1","1987","14","Chhattisgarh","Durg","17444.0","60.53","16.57","13.21","9301.0","32.27","8.83","7.04","2076.0","7.2","1.97","1.57","28821.0","27.38","21.82"
"1","1988","14","Chhattisgarh","Durg","18661.0","55.37","17.97","14.88","11984.0","35.56","11.54","9.56","3056.0","9.07","2.94","2.44","33701.0","32.45","26.87"
"1","1989","14","Chhattisgarh","Durg","21248.0","56.58","20.42","16.87","12600.0","33.55","12.11","10.01","3709.0","9.88","3.56","2.95","37557.0","36.1","29.82"
"1","1990","14","Chhattisgarh","Durg","22144.0","64.16","21.33","16.24","9038.0","26.19","8.7","6.63","3332.0","9.65","3.21","2.44","34514.0","33.24","25.31"
"1","1991","14","Chhattisgarh","Durg","19739.0","49.95","19.0","14.57","14503.0","36.7","13.96","10.7","5279.0","13.36","5.08","3.9","39521.0","38.03","29.16"
"1","1992","14","Chhattisgarh","Durg","25064.0","54.94","24.09","18.42","15323.0","33.59","14.73","11.26","5234.0","11.47","5.03","3.85","45621.0","43.84","33.53"
"1","1993","14","Chhattisgarh","Durg","22998.0","60.08","21.95","16.19","12674.0","33.11","12.1","8.92","2606.0","6.81","2.49","1.84","38278.0","36.54","26.95"
"1","1994","14","Chhattisgarh","Durg","28961.0","62.36","27.6","19.92","14506.0","31.23","13.82","9.98","2975.0","6.41","2.83","2.05","46442.0","44.25","31.94"
"1","1995","14","Chhattisgarh","Durg","28961.0","62.36","27.55","19.86","14506.0","31.23","13.8","9.95","2975.0","6.41","2.83","2.04","46442.0","44.18","31.84"
"1","1996","14","Chhattisgarh","Durg","28961.0","62.36","27.49","20.25","14506.0","31.23","13.77","10.14","2975.0","6.41","2.82","2.08","46442.0","44.09","32.48"
"1","1997","14","Chhattisgarh","Durg","36583.0","63.75","34.67","25.59","16041.0","27.95","15.2","11.22","4758.0","8.29","4.51","3.33","57382.0","54.37","40.14"
"1","1998","14","Chhattisgarh","Durg","34520.0","64.05","33.06","25.72","16103.0","29.88","15.42","12.0","3272.0","6.07","3.13","2.44","53895.0","51.62","40.15"
"1","1999","14","Chhattisgarh","Durg","35428.0","62.08","33.81","24.98","15822.0","27.73","15.1","11.16","5816.0","10.19","5.55","4.1","57066.0","54.47","40.24"
"1","2000","14","Chhattisgarh","Durg","35349.0","59.45","34.47","29.14","18393.0","30.93","17.94","15.16","5722.0","9.62","5.58","4.72","59464.0","57.99","49.03"
"1","2001","14","Chhattisgarh","Durg","39695.0","64.02","38.25","29.54","17621.0","28.42","16.98","13.11","4692.0","7.57","4.52","3.49","62007.0","59.75","46.14"
"1","2002","14","Chhattisgarh","Durg","33215.0","59.23","32.11","25.84","16959.0","30.24","16.39","13.19","5909.0","10.54","5.71","4.6","56082.0","54.22","43.63"
"1","2003","14","Chhattisgarh","Durg","32666.0","61.75","31.39","23.64","14731.0","27.85","14.16","10.66","5504.0","10.4","5.29","3.98","52900.0","50.84","38.29"
"1","2004","14","Chhattisgarh","Durg","48957.0","60.42","47.0","34.52","23367.0","28.84","22.44","16.48","8698.0","10.74","8.35","6.13","81022.0","77.79","57.13"
"1","2005","14","Chhattisgarh","Durg","52889.0","60.61","50.67","36.8","23912.0","27.4","22.91","16.64","10466.0","11.99","10.03","7.28","87267.0","83.61","60.73"
"1","2006","14","Chhattisgarh","Durg","63979.0","59.71","61.4","44.56","30775.0","28.72","29.54","21.43","12392.0","11.57","11.89","8.63","107146.0","102.83","74.63"
"1","2007","14","Chhattisgarh","Durg","60332.0","60.73","58.0","41.71","27558.0","27.74","26.49","19.05","11458.0","11.53","11.01","7.92","99347.0","95.51","68.68"
"1","2008","14","Chhattisgarh","Durg","52406.0","50.46","50.7","37.62","33856.0","32.6","32.75","24.3","17602.0","16.95","17.03","12.63","103864.0","100.48","74.56"
"1","2009","14","Chhattisgarh","Durg","72854.0","55.13","70.82","53.45","41198.0","31.18","40.05","30.23","18091.0","13.69","17.58","13.27","132143.0","128.45","96.95"
"1","2010","14","Chhattisgarh","Durg","77428.0","54.47","75.27","55.08","45186.0","31.79","43.93","32.15","19542.0","13.75","19.0","13.9","142156.0","138.2","101.13"
"1","2011","14","Chhattisgarh","Durg","72843.0","53.56","70.69","51.66","45815.0","33.69","44.46","32.49","17339.0","12.75","16.83","12.3","135997.0","131.98","96.46"
"1","2012","14","Chhattisgarh","Durg","93725.0","58.43","91.08","66.19","50474.0","31.47","49.05","35.65","16214.0","10.11","15.76","11.45","160413.0","155.88","113.29"
"1","2013","14","Chhattisgarh","Durg","80745.0","58.05","78.35","56.41","42228.0","30.36","40.98","29.5","16125.0","11.59","15.65","11.27","139098.0","134.98","97.18"
"1","2014","14","Chhattisgarh","Durg","92459.0","56.7","90.1","64.26","54358.0","33.33","52.97","37.78","16254.0","9.97","15.84","11.3","163071.0","158.92","113.34"
"1","2015","14","Chhattisgarh","Durg","109099.0","57.14","105.92","75.87","62410.0","32.69","60.59","43.4","19424.0","10.17","18.86","13.51","190933.0","185.37","132.77"
"1","2016","14","Chhattisgarh","Durg","103328.0","54.12","99.53","70.39","66895.0","35.04","64.43","45.57","20714.0","10.85","19.95","14.11","190937.0","183.91","130.07"
"1","2017","14","Chhattisgarh","Durg","91447.0","56.47","-1.0","-1.0","53486.0","33.03","-1.0","-1.0","16993.0","10.49","-1.0","-1.0","161926.0","-1.0","-1.0"
"2","1966","14","Chhattisgarh","Bastar","245.0","68.82","0.38","0.37","105.0","29.49","0.16","0.16","6.0","1.69","0.01","0.01","356.0","0.55","0.53"
"2","1967","14","Chhattisgarh","Bastar","202.0","86.32","0.3","0.29","26.0","11.11","0.04","0.04","6.0","2.56","0.01","0.01","234.0","0.35","0.33"
"2","1968","14","Chhattisgarh","Bastar","94.0","29.75","0.14","0.13","222.0","70.25","0.32","0.31","0.0","0.0","0.0","0.0","316.0","0.46","0.44"
"2","1969","14","Chhattisgarh","Bastar","239.0","68.48","0.34","0.33","82.0","23.5","0.12","0.11","28.0","8.02","0.04","0.04","349.0","0.5","0.48"
"2","1970","14","Chhattisgarh","Bastar","380.0","77.24","0.54","0.51","92.0","18.7","0.13","0.12","20.0","4.07","0.03","0.03","492.0","0.7","0.67"
"2","1971","14","Chhattisgarh","Bastar","393.0","72.24","0.56","0.53","130.0","23.9","0.18","0.18","21.0","3.86","0.03","0.03","544.0","0.77","0.74"
"2","1972","14","Chhattisgarh","Bastar","586.0","75.03","0.83","0.79","172.0","22.02","0.24","0.23","23.0","2.94","0.03","0.03","781.0","1.11","1.06"
"2","1973","14","Chhattisgarh","Bastar","778.0","72.64","1.05","1.0","235.0","21.94","0.32","0.3","58.0","5.42","0.08","0.07","1071.0","1.45","1.38"
"2","1974","14","Chhattisgarh","Bastar","110.0","48.67","0.15","0.14","95.0","42.04","0.13","0.12","21.0","9.29","0.03","0.03","226.0","0.3","0.29"
"2","1975","14","Chhattisgarh","Bastar","242.0","74.01","0.32","0.3","68.0","20.8","0.09","0.08","17.0","5.2","0.02","0.02","327.0","0.43","0.41"
"2","1976","14","Chhattisgarh","Bastar","285.0","72.89","0.38","0.37","81.0","20.72","0.11","0.11","25.0","6.39","0.03","0.03","391.0","0.52","0.51"
"2","1977","14","Chhattisgarh","Bastar","574.0","66.9","0.75","0.72","239.0","27.86","0.31","0.3","45.0","5.24","0.06","0.06","858.0","1.13","1.08"
"2","1978","14","Chhattisgarh","Bastar","499.0","66.44","0.65","0.62","213.0","28.36","0.28","0.26","39.0","5.19","0.05","0.05","751.0","0.97","0.93"
"2","1979","14","Chhattisgarh","Bastar","380.0","61.39","0.49","0.47","193.0","31.18","0.25","0.24","46.0","7.43","0.06","0.06","619.0","0.8","0.77"
"2","1980","14","Chhattisgarh","Bastar","383.0","60.7","0.48","0.46","195.0","30.9","0.24","0.23","53.0","8.4","0.07","0.06","631.0","0.79","0.76"
"2","1981","14","Chhattisgarh","Bastar","454.0","62.19","0.56","0.54","206.0","28.22","0.26","0.25","70.0","9.59","0.09","0.08","730.0","0.9","0.87"
"2","1982","14","Chhattisgarh","Bastar","556.0","67.07","0.68","0.65","213.0","25.69","0.26","0.25","60.0","7.24","0.07","0.07","829.0","1.01","0.97"
"2","1983","14","Chhattisgarh","Bastar","1078.0","60.63","1.29","1.24","566.0","31.83","0.68","0.65","134.0","7.54","0.16","0.15","1778.0","2.12","2.04"
"2","1984","14","Chhattisgarh","Bastar","1398.0","69.69","1.68","1.62","433.0","21.59","0.52","0.5","175.0","8.72","0.21","0.2","2006.0","2.41","2.32"
"2","1985","14","Chhattisgarh","Bastar","1445.0","62.02","1.72","1.65","705.0","30.26","0.84","0.81","180.0","7.73","0.21","0.21","2330.0","2.77","2.67"
"2","1986","14","Chhattisgarh","Bastar","1603.0","58.1","1.91","1.84","885.0","32.08","1.05","1.01","271.0","9.82","0.32","0.31","2759.0","3.28","3.16"
"2","1987","14","Chhattisgarh","Bastar","1762.0","62.28","2.09","2.01","824.0","29.13","0.98","0.94","243.0","8.59","0.29","0.28","2829.0","3.36","3.23"
"2","1988","14","Chhattisgarh","Bastar","2196.0","62.78","2.58","2.49","968.0","27.67","1.14","1.1","334.0","9.55","0.39","0.38","3498.0","4.11","3.97"
"2","1989","14","Chhattisgarh","Bastar","2753.0","61.18","3.22","3.14","1291.0","28.69","1.51","1.47","456.0","10.13","0.53","0.52","4500.0","5.27","5.14"
"2","1990","14","Chhattisgarh","Bastar","1784.0","56.33","2.06","1.99","1166.0","36.82","1.35","1.3","217.0","6.85","0.25","0.24","3167.0","3.66","3.54"
"2","1991","14","Chhattisgarh","Bastar","3017.0","65.59","3.49","3.38","1248.0","27.13","1.44","1.4","335.0","7.28","0.39","0.37","4600.0","5.32","5.15"
"2","1992","14","Chhattisgarh","Bastar","3266.0","58.83","3.81","3.7","1703.0","30.67","1.99","1.93","583.0","10.5","0.68","0.66","5552.0","6.48","6.29"
"2","1993","14","Chhattisgarh","Bastar","3363.0","68.4","3.83","3.7","1310.0","26.64","1.49","1.44","244.0","4.96","0.28","0.27","4917.0","5.6","5.41"
"2","1994","14","Chhattisgarh","Bastar","3718.0","63.17","4.25","4.1","1728.0","29.36","1.98","1.91","440.0","7.48","0.5","0.49","5886.0","6.73","6.49"
"2","1995","14","Chhattisgarh","Bastar","3718.0","63.17","4.24","4.09","1728.0","29.36","1.97","1.9","440.0","7.48","0.5","0.48","5886.0","6.72","6.48"
"2","1996","14","Chhattisgarh","Bastar","3718.0","63.17","4.26","4.1","1728.0","29.36","1.98","1.91","440.0","7.48","0.5","0.49","5886.0","6.74","6.5"
"2","1997","14","Chhattisgarh","Bastar","7577.0","70.24","8.73","8.44","2296.0","21.28","2.64","2.56","915.0","8.48","1.05","1.02","10788.0","12.43","12.01"
"2","1998","14","Chhattisgarh","Bastar","4096.0","57.03","4.71","4.51","2434.0","33.89","2.8","2.68","652.0","9.08","0.75","0.72","7182.0","8.26","7.91"
"2","1999","14","Chhattisgarh","Bastar","5861.0","54.33","6.77","6.55","3470.0","32.17","4.01","3.88","1457.0","13.51","1.68","1.63","10788.0","12.46","12.06"
"2","2000","14","Chhattisgarh","Bastar","7060.0","67.35","8.2","7.99","2551.0","24.34","2.96","2.89","871.0","8.31","1.01","0.99","10482.0","12.18","11.86"
"2","2001","14","Chhattisgarh","Bastar","8975.0","63.91","10.42","10.1","3729.0","26.55","4.33","4.2","1339.0","9.53","1.55","1.51","14043.0","16.3","15.8"
"2","2002","14","Chhattisgarh","Bastar","6298.0","58.98","7.5","7.32","3230.0","30.25","3.84","3.75","1151.0","10.78","1.37","1.34","10679.0","12.71","12.41"
"2","2003","14","Chhattisgarh","Bastar","6474.0","59.59","7.63","7.38","3114.0","28.66","3.67","3.55","1276.0","11.75","1.5","1.46","10864.0","12.8","12.39"
"2","2004","14","Chhattisgarh","Bastar","9315.0","59.18","10.99","10.63","4360.0","27.7","5.14","4.98","2064.0","13.11","2.43","2.36","15739.0","18.57","17.96"
"2","2005","14","Chhattisgarh","Bastar","10661.0","61.11","12.59","12.17","4827.0","27.67","5.7","5.51","1959.0","11.23","2.31","2.24","17447.0","20.6","19.91"
"2","2006","14","Chhattisgarh","Bastar","12218.0","58.53","14.05","13.55","6136.0","29.4","7.05","6.8","2520.0","12.07","2.9","2.79","20874.0","24.0","23.14"
"2","2007","14","Chhattisgarh","Bastar","9710.0","70.9","11.86","11.42","3270.0","23.88","3.99","3.84","715.0","5.22","0.87","0.84","13695.0","16.73","16.1"
"2","2008","14","Chhattisgarh","Bastar","11578.0","56.18","14.13","13.61","5451.0","26.45","6.65","6.41","3579.0","17.37","4.37","4.21","20608.0","25.14","24.23"
"2","2009","14","Chhattisgarh","Bastar","17440.0","58.67","21.33","20.57","9076.0","30.53","11.1","10.7","3212.0","10.8","3.93","3.79","29728.0","36.36","35.06"
"2","2010","14","Chhattisgarh","Bastar","16819.0","52.94","20.1","19.35","9675.0","30.45","11.56","11.13","5277.0","16.61","6.31","6.07","31771.0","37.96","36.55"
"2","2011","14","Chhattisgarh","Bastar","16701.0","54.65","20.53","19.77","10399.0","34.03","12.78","12.31","3459.0","11.32","4.25","4.09","30559.0","37.57","36.17"
"2","2012","14","Chhattisgarh","Bastar","22885.0","57.88","27.97","26.92","12120.0","30.65","14.82","14.26","4535.0","11.47","5.54","5.33","39540.0","48.33","46.51"
"2","2013","14","Chhattisgarh","Bastar","18748.0","58.15","22.85","21.96","9581.0","29.72","11.68","11.22","3912.0","12.13","4.77","4.58","32241.0","39.3","37.77"
"2","2014","14","Chhattisgarh","Bastar","21424.0","56.73","26.05","25.01","11737.0","31.08","14.27","13.7","4606.0","12.2","5.6","5.38","37767.0","45.92","44.09"
"2","2015","14","Chhattisgarh","Bastar","19698.0","51.49","24.26","23.32","13415.0","35.07","16.52","15.88","5141.0","13.44","6.33","6.09","38254.0","47.12","45.3"
"2","2016","14","Chhattisgarh","Bastar","22592.0","54.07","27.64","26.6","13794.0","33.01","16.88","16.24","5394.0","12.91","6.6","6.35","41783.0","51.13","49.2"
"2","2017","14","Chhattisgarh","Bastar","21279.0","55.8","-1.0","-1.0","12584.0","33.0","-1.0","-1.0","4271.0","11.2","-1.0","-1.0","38134.0","-1.0","-1.0"
"3","1966","14","Chhattisgarh","Raipur","2977.0","77.49","3.48","3.07","777.0","20.22","0.91","0.8","88.0","2.29","0.1","0.09","3842.0","4.49","3.96"
"3","1967","14","Chhattisgarh","Raipur","2920.0","78.35","3.32","2.66","653.0","17.52","0.74","0.6","154.0","4.13","0.18","0.14","3727.0","4.24","3.4"
"3","1968","14","Chhattisgarh","Raipur","4871.0","86.84","5.48","4.33","664.0","11.84","0.75","0.59","74.0","1.32","0.08","0.07","5609.0","6.31","4.99"
"3","1969","14","Chhattisgarh","Raipur","6108.0","66.96","6.88","5.55","2934.0","32.16","3.3","2.66","80.0","0.88","0.09","0.07","9122.0","10.27","8.29"
"3","1970","14","Chhattisgarh","Raipur","8616.0","65.25","9.62","7.44","4319.0","32.71","4.82","3.73","269.0","2.04","0.3","0.23","13204.0","14.74","11.4"
"3","1971","14","Chhattisgarh","Raipur","11071.0","65.79","12.27","9.38","5372.0","31.92","5.96","4.55","386.0","2.29","0.43","0.33","16829.0","18.66","14.26"
"3","1972","14","Chhattisgarh","Raipur","7683.0","62.56","8.48","6.41","4249.0","34.6","4.69","3.55","349.0","2.84","0.39","0.29","12281.0","13.56","10.25"
"3","1973","14","Chhattisgarh","Raipur","10917.0","69.23","11.93","8.85","4357.0","27.63","4.76","3.53","495.0","3.14","0.54","0.4","15769.0","17.23","12.78"
"3","1974","14","Chhattisgarh","Raipur","5342.0","64.55","5.89","5.16","2629.0","31.77","2.9","2.54","305.0","3.69","0.34","0.29","8276.0","9.12","8.0"
"3","1975","14","Chhattisgarh","Raipur","6993.0","74.51","7.58","5.68","2050.0","21.84","2.22","1.66","342.0","3.64","0.37","0.28","9385.0","10.18","7.62"
"3","1976","14","Chhattisgarh","Raipur","7849.0","70.29","8.63","6.65","2687.0","24.06","2.95","2.28","631.0","5.65","0.69","0.53","11167.0","12.27","9.46"
"3","1977","14","Chhattisgarh","Raipur","8275.0","65.93","8.98","6.71","3607.0","28.74","3.91","2.92","669.0","5.33","0.73","0.54","12551.0","13.62","10.18"
"3","1978","14","Chhattisgarh","Raipur","12059.0","68.21","12.98","9.71","4639.0","26.24","4.99","3.74","981.0","5.55","1.06","0.79","17679.0","19.03","14.23"
"3","1979","14","Chhattisgarh","Raipur","9524.0","63.02","10.41","8.46","4528.0","29.96","4.95","4.02","1061.0","7.02","1.16","0.94","15113.0","16.51","13.43"
"3","1980","14","Chhattisgarh","Raipur","12732.0","65.17","13.9","10.47","4944.0","25.31","5.4","4.07","1860.0","9.52","2.03","1.53","19536.0","21.32","16.07"
"3","1981","14","Chhattisgarh","Raipur","13853.0","65.71","14.96","11.2","5717.0","27.12","6.17","4.62","1513.0","7.18","1.63","1.22","21083.0","22.77","17.04"
"3","1982","14","Chhattisgarh","Raipur","12821.0","66.3","13.78","10.48","5007.0","25.89","5.38","4.09","1509.0","7.8","1.62","1.23","19337.0","20.79","15.8"
"3","1983","14","Chhattisgarh","Raipur","12622.0","67.87","13.48","10.22","4631.0","24.9","4.95","3.75","1345.0","7.23","1.44","1.09","18598.0","19.87","15.06"
"3","1984","14","Chhattisgarh","Raipur","21164.0","68.1","22.64","17.14","7463.0","24.01","7.98","6.04","2451.0","7.89","2.62","1.99","31078.0","33.24","25.17"
"3","1985","14","Chhattisgarh","Raipur","24352.0","65.38","25.93","19.26","9899.0","26.58","10.54","7.83","2995.0","8.04","3.19","2.37","37246.0","39.66","29.46"
"3","1986","14","Chhattisgarh","Raipur","24270.0","62.82","25.97","20.21","10504.0","27.19","11.24","8.75","3860.0","9.99","4.13","3.22","38634.0","41.34","32.18"
"3","1987","14","Chhattisgarh","Raipur","26848.0","62.87","28.74","22.24","12176.0","28.51","13.04","10.09","3677.0","8.61","3.94","3.05","42701.0","45.71","35.37"
"3","1988","14","Chhattisgarh","Raipur","28506.0","57.95","30.82","25.5","15154.0","30.81","16.38","13.56","5530.0","11.24","5.98","4.95","49190.0","53.18","44.01"
"3","1989","14","Chhattisgarh","Raipur","34516.0","59.25","36.97","30.38","17127.0","29.4","18.35","15.07","6609.0","11.35","7.08","5.82","58252.0","62.4","51.27"
"3","1990","14","Chhattisgarh","Raipur","30812.0","58.19","32.91","26.14","13882.0","26.22","14.83","11.78","8258.0","15.6","8.82","7.01","52952.0","56.55","44.92"
"3","1991","14","Chhattisgarh","Raipur","27326.0","55.45","29.11","23.34","15607.0","31.67","16.63","13.33","6351.0","12.89","6.77","5.42","49284.0","52.5","42.09"
"3","1992","14","Chhattisgarh","Raipur","35574.0","61.01","37.83","30.28","14954.0","25.65","15.9","12.73","7782.0","13.35","8.28","6.62","58310.0","62.01","49.64"
"3","1993","14","Chhattisgarh","Raipur","45411.0","66.2","47.98","37.56","18408.0","26.83","19.45","15.23","4779.0","6.97","5.05","3.95","68598.0","72.48","56.74"
"3","1994","14","Chhattisgarh","Raipur","49273.0","64.27","51.87","40.17","21293.0","27.77","22.42","17.36","6105.0","7.96","6.43","4.98","76671.0","80.72","62.51"
"3","1995","14","Chhattisgarh","Raipur","49273.0","64.27","51.75","40.01","21293.0","27.77","22.36","17.29","6105.0","7.96","6.41","4.96","76671.0","80.53","62.26"
"3","1996","14","Chhattisgarh","Raipur","49273.0","64.27","51.9","41.48","21293.0","27.77","22.43","17.92","6105.0","7.96","6.43","5.14","76671.0","80.76","64.54"
"3","1997","14","Chhattisgarh","Raipur","54995.0","64.12","57.7","45.64","22850.0","26.64","23.97","18.96","7930.0","9.25","8.32","6.58","85775.0","89.99","71.19"
"3","1998","14","Chhattisgarh","Raipur","58962.0","63.99","61.94","51.96","27617.0","29.97","29.01","24.34","5557.0","6.03","5.84","4.9","92136.0","96.8","81.2"
"3","1999","14","Chhattisgarh","Raipur","58420.0","62.47","61.2","49.59","26112.0","27.92","27.35","22.17","8988.0","9.61","9.42","7.63","93520.0","97.97","79.39"
"3","2000","14","Chhattisgarh","Raipur","47700.0","57.73","50.83","45.57","26145.0","31.64","27.86","24.98","8783.0","10.63","9.36","8.39","82628.0","88.05","78.93"
"3","2001","14","Chhattisgarh","Raipur","50959.0","62.07","53.57","45.02","23621.0","28.77","24.83","20.87","7522.0","9.16","7.91","6.65","82102.0","86.31","72.53"
"3","2002","14","Chhattisgarh","Raipur","48351.0","60.15","50.99","44.04","23686.0","29.46","24.98","21.58","8351.0","10.39","8.81","7.61","80388.0","84.78","73.23"
"3","2003","14","Chhattisgarh","Raipur","47900.0","61.22","50.45","40.54","22409.0","28.64","23.6","18.97","7939.0","10.15","8.36","6.72","78248.0","82.42","66.23"
"3","2004","14","Chhattisgarh","Raipur","68747.0","59.1","72.32","58.5","33795.0","29.05","35.55","28.76","13790.0","11.85","14.51","11.73","116332.0","122.37","98.99"
"3","2005","14","Chhattisgarh","Raipur","72879.0","53.8","76.88","61.56","47155.0","34.81","49.75","39.83","15430.0","11.39","16.28","13.03","135464.0","142.91","114.42"
"3","2006","14","Chhattisgarh","Raipur","101407.0","59.71","106.99","84.97","46657.0","27.47","49.22","39.09","21781.0","12.82","22.98","18.25","169845.0","179.19","142.31"
"3","2007","14","Chhattisgarh","Raipur","106660.0","55.53","112.51","88.25","55126.0","28.7","58.15","45.61","30274.0","15.76","31.93","25.05","192060.0","202.59","158.91"
"3","2008","14","Chhattisgarh","Raipur","106007.0","57.91","112.44","90.05","53556.0","29.26","56.81","45.49","23481.0","12.83","24.91","19.95","183044.0","194.16","155.49"
"3","2009","14","Chhattisgarh","Raipur","115245.0","57.89","122.84","99.79","59287.0","29.78","63.19","51.33","24550.0","12.33","26.17","21.26","199082.0","212.2","172.38"
"3","2010","14","Chhattisgarh","Raipur","127705.0","58.2","135.75","108.06","64093.0","29.21","68.13","54.23","27617.0","12.59","29.36","23.37","219415.0","233.24","185.66"
"3","2011","14","Chhattisgarh","Raipur","143926.0","60.44","153.17","123.97","66868.0","28.08","71.16","57.6","27341.0","11.48","29.1","23.55","238135.0","253.43","205.12"
"3","2012","14","Chhattisgarh","Raipur","140933.0","64.93","150.44","119.01","63782.0","29.39","68.08","53.86","12325.0","5.68","13.16","10.41","217040.0","231.68","183.28"
"3","2013","14","Chhattisgarh","Raipur","133516.0","62.71","141.02","112.07","62690.0","29.44","66.21","52.62","16718.0","7.85","17.66","14.03","212924.0","224.89","178.73"
"3","2014","14","Chhattisgarh","Raipur","131220.0","62.99","137.59","107.5","56975.0","27.35","59.74","46.68","20116.0","9.66","21.09","16.48","208311.0","218.42","170.65"
"3","2015","14","Chhattisgarh","Raipur","127207.0","65.03","134.22","109.49","51969.0","26.57","54.84","44.73","16422.0","8.4","17.33","14.13","195598.0","206.39","168.35"
"3","2016","14","Chhattisgarh","Raipur","118345.0","58.88","125.78","100.6","65193.0","32.43","69.29","55.42","17469.0","8.69","18.57","14.85","201005.0","213.64","170.86"
"3","2017","14","Chhattisgarh","Raipur","92008.0","59.44","-1.0","-1.0","47721.0","30.83","-1.0","-1.0","15054.0","9.73","-1.0","-1.0","154783.0","-1.0","-1.0"
"4","1966","14","Chhattisgarh","Bilaspur","2334.0","88.51","2.92","2.51","298.0","11.3","0.37","0.32","5.0","0.19","0.01","0.01","2637.0","3.3","2.83"
"4","1967","14","Chhattisgarh","Bilaspur","1721.0","71.65","2.14","1.76","355.0","14.78","0.44","0.36","326.0","13.57","0.41","0.33","2402.0","2.99","2.46"
